省份,品种名称,亲本来源,类型,原产地,审定编号
安徽,乐优456,409A×R0616,籼型三系杂交稻,合肥丰乐种业股份有限公司,皖审稻2023T005
江西,赣晚籼30号,涟选籼×莲塘早/IR36//外3,籼型常规稻,江西省农业科学院水稻研究所,赣审稻2000003
江　苏,南粳45,中粳315/盐334-6×武运粳8号,粳型常规稻,江苏省农科院粮食作物研究所,苏审稻200910
江　苏,泗优422,泗稻8号A×轮回422,粳型三系杂交稻,江苏省农业科学院粮食作物研究所,苏种审字第174号
江西,丰优22,粤丰A×扬恢22,籼型三系杂交稻,江苏里下河地区农业科学研究所,赣审稻2006020
江西,中早57,中早39×浙12-21,籼型常规稻,江西农嘉种业有限公司等,赣审稻20200001
安徽,两优瑞星占,1892S×瑞星占,籼型两系杂交稻,安徽瑞稻种业科技有限公司等,皖审稻20221010
江西,e优6号,K17eA×金谷恢6号,籼型三系杂交稻,江西省金谷种业有限公司,赣审稻2006059
江　苏,稳两优669,悦216S×悦恢69,籼型两系杂交稻,江苏悦丰种业科技有限公司,苏审稻20220030
江西,荣优585,荣丰A×R585,籼型三系杂交稻,江西天涯种业有限公司等,赣审稻2014033
江西,赣早籼4号,菲改12×广陆矮4号,籼型常规稻,江西省宜春地区农业科学研究所,赣审稻1987004
安徽,知粳207,盐稻7号×镇稻88,粳型常规稻,合肥知本生物科技发展有限公司,皖审稻20201053
浙江,中组18,中早25×浙农131,籼型常规稻,浙江勿忘农种业股份有限公司等,浙审稻2020005
江　苏,嘉优中科6号,嘉66A×中科6号,粳型三系杂交稻,中国科学院遗传与发育生物学研究所等,苏审稻20230086
江西,赣长粳6号,甬优15号×嘉禾212,粳型常规稻,江西省农业科学院水稻研究所,赣审稻20220042
江　苏,扬两优818,扬籼1S×R818,籼型两系杂交稻,江苏里下河地区农业科学研究所,苏审稻201105
江西,赣早籼58号,931-1×密野1号,籼型常规稻,江西省农业科学院原子能应用研究所,赣审稻2004003
江　苏,甬优1662,甬粳16A×F6862,籼粳交三系杂交稻,宁波市种子有限公司,苏审稻20170009
安徽,科两优122,凯5S×4R202,籼型两系杂交稻,安徽科道农业科技有限公司,皖审稻20221009
安徽,早优12,黄粤丝苗/嘉育948×嘉早37,籼型常规稻,马鞍山神农种业有限责任公司,皖审稻2024L002
江　苏,镇稻32号,镇稻18号×盐稻11号,粳型常规稻,江苏丘陵地区镇江农业科学研究所,苏审稻20210010
江西,优Ⅰ536,优ⅠA×R536,籼型三系杂交稻,抚州市临川区绿江南农业新产品研究所,赣审稻2010038
