省份,品种名称,亲本来源,类型,原产地,审定编号
福建,榕夏两优676,榕夏S×福恢676,籼型两系杂交稻,福建省农业科学院水稻研究所,闽审稻20210013
福建,澜优粤禾丝苗,澜达A×粤禾丝苗,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20190031
福建,元两优1725,元亨S×福恢1725,籼型两系杂交稻,福建省农业科学院水稻研究所,闽审稻20210012
福建,野香优639,野香A×福恢639,籼型三系杂交稻,福建禾丰种业股份有限公司等,闽审稻20190030
福建,旌3优164,旌3A×明恢164,籼型三系杂交稻,福建农乐种业有限公司等,闽审稻20210011
福建,甬优5518,甬粳55A×F4918,籼粳交三系杂交稻,宁波市种子有限公司,闽审稻20190029
浙江,嘉育143,嘉育293×Z94-207,籼型常规稻,浙江省嘉兴市农业科学院,浙审稻2003003
福建,两优8676,Bph68S×福恢676,籼型两系杂交稻,福建省农业科学院水稻研究所等,闽审稻20210010
福建,泸优6169,泸香618A×乐恢6169,籼型三系杂交稻,福建农乐种业有限公司等,闽审稻20190028
福建,荃优639,荃9311A×福恢639,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20190027
浙江,中早21,中早5号/嘉香3号×中优早81/科庆HA-7,籼型常规稻,中国水稻研究所,浙审稻2003002
浙江,秀水1813,BR75×BR41,粳型常规稻,嘉兴市农业科学研究院,浙审稻2022004
福建,荃优6863,荃9311A×禾恢6863,籼型三系杂交稻,福建禾丰种业股份有限公司等,闽审稻20210009
福建,柏两优533,柏农S×荟恢533,籼型两系杂交稻,科荟种业股份有限公司,闽审稻20200040
福建,福农优9802,福农A×粤恢9802,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20190026
浙江,中235S,C815S×湘陵628S,籼型不育系,中国水稻研究所,浙审稻（不育系）2024006
浙江,嘉早312,嘉早935/Z95-05×Z96-10,籼型常规稻,浙江省嘉兴市农业科学研究所,浙审稻2003001
浙江,金早51,甬籼142×金11-02,籼型常规稻,金华市农业科学研究院,浙审稻2022003
福建,华元优533,华元3A×荟恢533,籼型三系杂交稻,科荟种业股份有限公司,闽审稻20200039
福建,内10优164,内香10A×明恢164,籼型三系杂交稻,三明市农业科学研究院等,闽审稻20190025
浙江,甬粳14A,甬粳67A×甬粳14B,粳型不育系,宁波种业股份有限公司,浙审稻（不育系）2024005
福建,野香优6833,野香A×禾恢6833,籼型三系杂交稻,福建禾丰种业股份有限公司等,闽审稻20210008
浙江,八优8号,8204A×R9525,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第380号
福建,泰谷优466,泰谷A×荟恢466,籼型三系杂交稻,科荟种业股份有限公司,闽审稻20200038
福建,福农A,谷丰A×福农B,籼型不育系,福建省农业科学院水稻研究所,闽审稻20180029
浙江,台科早3号,甬籼975×Z10-142,籼型常规稻,台州市农业科学研究院等,浙审稻2022002
福建,杉谷优533,杉谷A×荟恢533,籼型三系杂交稻,福建省农业科学院生物技术研究所等,闽审稻20210007
福建,明德S,GD-7S×三明显性核不育单株/Rathu heenati/...,籼型不育系,三明市农业科学研究院,闽审稻20220107
浙江,春江137A,春江16A×春江137B,粳型不育系,中国水稻研究所,浙审稻（不育系）2024004
浙江,浙1831,浙1108×嘉育938,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2022001
福建,东联早2号,东联占×佳禾早占,籼型常规稻,南安市码头东联农业科技示范场,闽审稻20210006
浙江,甬优3号,甬粳2号A×K1863,粳型三系杂交稻,宁波市农业科学研究院等,浙品审字第379号
福建,宁12A,谷丰A×宁12B,籼型不育系,宁德市农业科学研究所,闽审稻20180028
福建,B两优164,Bph68S×明恢164,籼型两系杂交稻,三明市农业科学研究院等,闽审稻20190024
福建,野香优靓占,野香A×靓占,籼型三系杂交稻,江西省农业科学院水稻研究所,闽审稻20200037
福建,神农39,97香×IR58025B,籼型常规稻,福建神农大丰种业科技有限公司,闽审稻20200036
浙江,嘉1S,哈勃1S×B8,粳型不育系,嘉兴市农业科学研究院等,浙审稻（不育系）2022017
浙江,春江82A,春江16A×春江82B,粳型不育系,中国水稻研究所,浙审稻（不育系）2024003
浙江,Ⅱ优7954,Ⅱ-32A×浙恢7954,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第378号
福建,安丰优3510,安丰A×闽恢3510,籼型三系杂交稻,福建省农业科学院生物技术研究所等,闽审稻20190023
福建,恒丰优332,恒丰A×福恢332,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20210005
浙江,嘉锡A,秀水110A×嘉锡B,粳型不育系,浙江大学作物科学研究所等,浙审稻（不育系）2022016
福建,明8S,T108S×广抗13B/元丰B,籼型不育系,三明市农业科学研究院,闽审稻20220106
福建,旺9S,86315S×广占63-4S,籼型不育系,福建旺穗种业有限公司等,闽审稻20180027
浙江,春江68A,春江16A×春江68B,籼型不育系,中国水稻研究所,浙审稻（不育系）2024002
浙江,浙粳9A,浙粳7A×F2109,粳型不育系,浙江省农业科学院作物与核技术利用研究所等,浙审稻（不育系）2024001
福建,茉01S,广占63S×天丰B,籼型不育系,科荟种业股份有限公司等,闽审稻20180026
福建,金泰优2453,金泰A×金恢2453,籼型三系杂交稻,福建农林大学作物科学学院,闽审稻20190022
浙江,K优117,K17A×温恢117,籼型三系杂交稻,浙江省温州市农业科学研究院,浙品审字第377号
浙江,Ⅱ优3027,Ⅱ-32A×R3027,籼型三系杂交稻,浙江大学核农所等,浙品审字第214号
浙江,协优963,协青早A×R963,籼型三系杂交稻,浙江省农业科学院作物研究所,浙品审字第213号
浙江,秀水390,丙98111×丙90289,粳型常规稻,嘉兴市农业科学研究院,浙品审字第212号
福建,金泰优明占,金泰A×改良的双抗明占,籼型三系杂交稻,福建农林大学作物科学学院等,闽审稻20190021
福建,启优2165,启源A×福恢2165,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20200035
福建,明2优明占,明2A×双抗明占(改良),籼型三系杂交稻,三明市农业科学研究院等,闽审稻20190020
福建,智农S,C815S×C815S/629B,籼型不育系,科荟种业股份有限公司,闽审稻20180025
福建,紫两优3号,紫392S×福恢673,籼型两系杂交稻,福建省农业科学院水稻研究所等,闽审稻20180024
福建,中香糯17,香恢66×扬稻6号/珍糯,籼型常规稻,湖北中香农业科技股份有限公司,闽审稻20180023
福建,糯两优561,糯56S×香糯1号,籼型两系杂交稻,湖北中香农业科技股份有限公司等,闽审稻20180022
福建,闽红两优727,闽红249S×成恢727,籼型两系杂交稻,福建亚丰种业有限公司等,闽审稻20180021
浙江,中香20A,中64A×中香20B,籼型不育系,中国水稻研究所,浙审稻（不育系）2022015
浙江,浙大高直优1号,浙大高直1A×HA01,籼型三系杂交稻,浙江大学原子核农业科学研究所等,浙审稻2023034
福建,闽红两优3号,闽红249S×福恢673,籼型两系杂交稻,福建省农业科学院水稻研究所等,闽审稻20180020
福建,华元3S,Y58s×Y58s/奥龙1s,籼型不育系,科荟种业股份有限公司,闽审稻20220105
浙江,汕优8548,珍汕97A×浙大8548,籼型三系杂交稻,浙江大学农业与生物技术学院,浙品审字第376号
浙江,越粳2号,绍糯119×越光,粳型常规稻,浙江省绍兴市农科所,浙品审字第211号
福建,吉优342,吉丰A×福恢342,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20210004
浙江,浙粳8A,浙粳4A×浙粳8B,粳型不育系,浙江省农业科学院作物与核技术利用研究所等,浙审稻（不育系）2022014
福建,嘉糯6优8号,嘉农wx6A×嘉糯恢8号,籼型三系杂交稻,福建农林大学作物遗传改良研究所,闽审稻20180019
浙江,甬粳18,丙89-84×甬粳33/甬粳23,粳型常规稻,宁波市农业科学研究所,浙品审字第210号
福建,恒丰优212,恒丰A×福恢212,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20200034
浙江,嘉禾276,JH14022×JH5502,粳型常规稻,浙江禾天下种业股份有限公司等,浙审稻2023033
福建,臻优683,臻达A×福恢683,籼型三系杂交稻,福建禾丰种业股份有限公司等,闽审稻20190019
福建,清优粤禾丝苗,清达A×粤禾丝苗,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20210003
福建,闽晶S,Y58S×广占63S/恒丰B,籼型不育系,福建双海种业科技有限公司,闽审稻20220104
浙江,陆两优173,陆18S×R173,籼型两系杂交稻,中国水稻研究所,浙审稻2013005
浙江,春江15,B20×H89012,粳型常规稻,中国水稻研究所,浙品审字第209号
浙江,协优982,协青早A×金恢982,籼型三系杂交稻,浙江省金华市农业科学研究所,浙品审字第375号
福建,金泰优6863,金泰A×禾恢6863,籼型三系杂交稻,福建农林大学农学院等,闽审稻20200033
浙江,秀水香1号A,秀水134A×秀水香1号B,粳型不育系,嘉兴市农业科学研究院,浙审稻（不育系）2022013
浙江,春江190,丙14-08×嘉10-02,粳型常规稻,中国水稻研究所,浙审稻2023032
福建,两优7283,272S×福恢683,籼型两系杂交稻,福建农林大学作物科学学院等,闽审稻20180018
福建,荣华S,隆科638S×1892S/恒丰B,籼型不育系,福建双海种业科技有限公司,闽审稻20220103
浙江,株两优813,株1S×08EZ13,籼型两系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2013004
福建,恒丰优219,恒丰A×金恢219,籼型三系杂交稻,福建农林大学农学院等,闽审稻20220072
浙江,春江11,嘉45×秀水1067,粳型常规稻,中国水稻研究所,浙品审字第208号
浙江,特优37,龙特甫A×组恢37,籼型三系杂交稻,浙江大学原子核农业科学研究所,浙品审字第374号
浙江,嘉育89,G04-84×G04-244,籼型常规稻,嘉兴市农业科学研究院,浙审稻2013003
福建,清优308,清达A×广恢308,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20210002
浙江,秀114A,秀水134A×秀系114B,粳型不育系,嘉兴市农业科学研究院,浙审稻（不育系）2022012
浙江,春江糯2号,丙92-124×春江糯,粳型常规稻,中国水稻研究所,浙品审字第373号
浙江,浙大514,秀水861×丙889/浙农大40,粳型常规稻,浙江大学农业与生物技术学院,浙品审字第372号
福建,金泰优1057,金泰A×金恢1057,籼型三系杂交稻,福建农林大学农学院,闽审稻20200032
福建,荟丰优5478,荟丰A×荟恢5478,籼型三系杂交稻,科荟种业股份有限公司,闽审稻20190018
浙江,优Ⅰ98,优ⅠA×R98,籼型三系杂交稻,中国水稻研究所,浙品审字第207号
福建,内6优7075,内香6A×福恢7075,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20180017
福建,荟丰优3545,荟丰A×闽恢3545,籼型三系杂交稻,福建省农业科学院生物技术研究所等,闽审稻20190017
浙江,甬粳88A,甬粳6号A×甬粳88B,粳型不育系,宁波种业股份有限公司,浙审稻（不育系）2022011
浙江,嘉早37,TA105/嘉早935×Z6309,籼型常规稻,嘉兴市农业科学研究院,浙审稻2013002
福建,川种优3560,川种3A×金恢1560,籼型三系杂交稻,福建农林大学农学院等,闽审稻20220071
浙江,温814,G99-46×甬籼57,籼型常规稻,温州市农业科学研究院,浙审稻2013001
浙江,浙科优4号,浙糯1A×科恢4号,籼粳交三系杂交稻,浙江科诚种业股份有限公司等,浙审稻2023031
浙江,绍糯9714,绍紫9012/绍糯45//绍间9×绍糯119,粳型常规稻,绍兴市农业科学研究院,浙品审字第371号
福建,泰优2165,泰丰A×福恢2165,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20180016
浙江,甬粳68A,甬粳45A×甬粳68B,粳型不育系,宁波种业股份有限公司,浙审稻（不育系）2022010
福建,元两优919,元亨S×福恢919,籼型两系杂交稻,福建省农业科学院水稻研究所,闽审稻20210001
福建,金泰优99,金泰A×嘉恢99,籼型三系杂交稻,福建农林大学农学院等,闽审稻20200031
浙江,秀水110,嘉59天杂×丙95-13,粳型常规稻,嘉兴市农业科学研究院,浙品审字第370号
福建,T两优4159,T108S×明恢4159,籼型两系杂交稻,福建六三种业有限责任公司等,闽审稻20190016
福建,针桂S,湘陵628S×HD9802S/湘晚籼13号,籼型不育系,福建双海种业科技有限公司,闽审稻20220102
浙江,嘉育16,RD95×G93-368,籼型常规稻,浙江省嘉兴市农科院,浙品审字第206号
浙江,甬粳54A,甬粳26A×甬粳54B,粳型不育系,宁波种业股份有限公司,浙审稻（不育系）2022009
福建,宛S,RGD-7S×12B/福稻B,籼型不育系,福建省农业科学院水稻研究所,闽审稻20220101
福建,福兴优黄华占,福兴A×黄华占,籼型三系杂交稻,福建农林大学农学院等,闽审稻20220070
福建,��谷优636,��谷A×荟恢636,籼型三系杂交稻,福建农科农业良种开发有限公司等,闽审稻20220069
浙江,嘉早12,Z91-105×优905/嘉育293//嘉早43,籼型常规稻,嘉兴市农业科学研究院,浙品审字第205号
福建,T两优653,T108S×旺恢653,籼型两系杂交稻,福建旺福农业发展有限公司,闽审稻20190015
福建,晶两优534,晶4155S×R534,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,闽审稻20180015
浙江,甬粳17A,甬粳4号A×甬粳17B,粳型不育系,宁波种业股份有限公司,浙审稻（不育系）2022008
浙江,甬优36,甬粳18A×F136,籼粳交三系杂交稻,宁波种业股份有限公司,浙审稻2023030
浙江,18两优720,1892S×中恢7220,籼型两系杂交稻,中国水稻研究所等,浙审稻2023029
浙江,浙优18,浙04A×浙恢818,籼粳交三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2012020
福建,野香优631,野香A×福恢631,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20243039
福建,福泰2优316,福泰2A×JR316,籼型三系杂交稻,福建省农业科学院水稻研究所,闽审稻20243038
浙江,深两优689,深08S×温恢689,籼型两系杂交稻,温州市农业科学研究院等,浙审稻2021025
浙江,宁84A,甬粳2号A×宁84B,粳型不育系,宁波市农业科学研究院,浙审稻（不育系）2022007
浙江,湘两优新占,广湘24S×新占,籼型两系杂交稻,中国水稻研究所等,浙审稻2021024
福建,福泰优316,福泰1A×JR316,籼型三系杂交稻,福建省农业科学院水稻研究所,闽审稻20243037
福建,春80S,隆科638S×创5S/1892S,籼型不育系,建瓯市厚积农业科学研究所等,闽审稻20200097
福建,闽诚稻7号,南油占×佳禾7号,籼型常规稻,福建闽诚农业发展有限公司等,闽审稻20220068
福建,农优683,农香A×福恢683,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20190014
福建,赣73优明占,赣73A×改良的双抗明占,籼型三系杂交稻,三明市农业科学研究院等,闽审稻20190013
浙江,杭959,杭8820×早粳4号,籼型常规稻,浙江省杭州市农科所,浙品审字第204号
浙江,浙大高直1A,Ⅱ-32A×浙大高直1B,籼型不育系,浙江大学原子核农业科学研究所等,浙审稻（不育系）2022006
浙江,春优618,春江16A×C18,粳型三系杂交稻,中国水稻研究所,浙审稻2012019
福建,天优109,天丰A×漳恢109,籼型三系杂交稻,漳州市农业科学研究所等,闽审稻20180014
浙江,浙粳20,秀水63×秀水63/原粳7号,粳型常规稻,浙江省农业科学院作物研究所,浙品审字第369号
浙江,广8优8318,广8A×台恢8318,籼型三系杂交稻,台州市农业科学研究院等,浙审稻2021023
福建,金泰优156,金泰A×亚恢156,籼型三系杂交稻,宁德市农业科学研究所等,闽审稻20200030
福建,稔S,RGD-7S×榕夏S,籼型不育系,福建省农业科学院水稻研究所,闽审稻20220100
福建,野香优雅珍,野香A×雅珍,籼型三系杂交稻,福建禾丰种业股份有限公司等,闽审稻20220067
浙江,圳18优粤标5号,圳18A×粤标5号,籼型三系杂交稻,温州欣禾农业科技有限公司等,浙审稻2023028
浙江,浙大抗两优128,浙大抗1S×ZF-28,籼型两系杂交稻,浙江大学原子核农业科学研究所等,浙审稻2021022
福建,内6优673,内香6A×福恢673,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20180013
浙江,越糯2号,Z94-207×越糯1号/黑宝//嘉育293,籼型常规稻,绍兴市农业科学研究所,浙品审字第368号
浙江,浙大粳1A,安粳1A×浙大粳1B,粳型不育系,浙江大学原子核农业科学研究所,浙审稻（不育系）2022005
福建,榕25S,品57s×华占,籼型不育系,福建农林大学农产品品质研究所,闽审稻20200096
福建,元两优676,元亨S×福恢676,籼型两系杂交稻,福建禾丰种业股份有限公司等,闽审稻20190012
福建,荃优699,荃9311A×福恢699,籼型三系杂交稻,福建禾丰种业股份有限公司等,闽审稻20190011
浙江,春优149,春江19A×CH149,粳型三系杂交稻,中国水稻研究所等,浙审稻2014016
福建,野香优6866,野香A×禾恢6866,籼型三系杂交稻,福建禾丰种业股份有限公司等,闽审稻20220066
福建,永芳优506,永芳A×东南恢506,籼型三系杂交稻,福建省农业科学院水稻研究所,闽审稻20243036
浙江,福兴优386,福兴1A×福恢386,籼型三系杂交稻,金华市农业科学研究院等,浙审稻2021021
浙江,湘虎25,农虎6号×湘粳8号,粳型常规稻,浙江农业大学等,浙品审字第007号
浙江,浙粳66,矮粳23×百哥,粳型常规稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第006号
浙江,中98-18,嘉育948×嘉兴39,籼型常规稻,中国水稻研究所,浙品审字第367号
浙江,甬优17号,甬粳4号A×甬恢12,籼粳交三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2012018
浙江,中9优974,中9A×To974,籼型三系杂交稻,中国水稻研究所,浙品审字第366号
福建,恒丰优6107,恒丰A×福恢6107,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20200029
浙江,浙辐910,浙辐219×长丝软占,籼型常规稻,浙江大学核农所等,浙品审字第203号
福建,T两优华占,T108S×华占,籼型两系杂交稻,福建旺福农业发展有限公司等,闽审稻20190010
浙江,台537,台202×嘉25,粳型常规稻,台州市农业科学研究所,浙品审字第172号
浙江,双4831A,嘉禾212A×双4831B,粳型不育系,金华三才种业公司等,浙审稻（不育系）2022004
浙江,秀水48,辐农709/京引154×辐农709,粳型常规稻,浙江省嘉兴市农业科学研究所,浙品审字第005号
福建,墨S,紫392S×福农B,籼型不育系,福建省农业科学院水稻研究所,闽审稻20220099
福建,柏农S,33S×33S/天丰B,籼型不育系,科荟种业股份有限公司,闽审稻20200095
浙江,甬优15号,京双A×F5032,籼粳交三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2012017
浙江,皖两优73,皖28S×中恢7273,籼型两系杂交稻,中国水稻研究所等,浙审稻2023027
浙江,V两优720,V18S×R720,籼型两系杂交稻,浙江国稻高科技种业有限公司等,浙审稻2023026
浙江,嘉禾优555,嘉禾212A×嘉禾恢555,粳型三系杂交稻,浙江省嘉兴市农业科学研究院等,浙审稻2012016
福建,晶红优52,晶红1A×Q恢52,籼型三系杂交稻,重庆市农业科学院,闽审稻20220065
福建,甬优5526,甬粳55A×F4926,籼粳交三系杂交稻,宁波市种子有限公司,闽审稻20190009
福建,荃优175,荃9311A×南恢175,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20180012
浙江,甬优51,甬粳15A×F9008,籼粳交三系杂交稻,宁波种业股份有限公司,浙审稻2021020
浙江,甬优362,甬粳5号A×F7562,粳型三系杂交稻,宁波市种子有限公司,浙审稻2014015
浙江,嘉育164,嘉育948/Z94-207×嘉兴13,籼型常规稻,浙江省嘉兴市农业科学研究院,浙品审字第365号
浙江,金早50,金87-38×鉴89-72,籼型常规稻,金华市农业科学研究所,浙品审字第202号
福建,金岩优2050,金岩A×金恢2050,籼型三系杂交稻,福建农林大学作物科学学院等,闽审稻20180011
福建,宓乡优臻占,宓乡A×明轮臻占,籼型三系杂交稻,福建六三种业有限责任公司等,闽审稻20243035
福建,元丰优998,元丰A×广恢998,籼型三系杂交稻,福建省三明市农业科学研究所等,闽审稻20200028
浙江,嘉74A,嘉60A×嘉74B,粳型不育系,嘉兴市农业科学研究院,浙审稻（不育系）2022003
福建,E两优278,EK2S×R78,籼型两系杂交稻,厦门市力创农作物科学研究所等,闽审稻20220064
浙江,金早22,金87-38×鉴89-72,籼型常规稻,金华市农业科学研究所,浙品审字第171号
福建,杉农S,HD9802S×HD9802S/谷丰B,籼型不育系,科荟种业股份有限公司,闽审稻20200094
福建,集S,龙S×福农B/IR58025B,籼型不育系,福建省农业科学院水稻研究所,闽审稻20220098
浙江,嘉育948,YD4-4×嘉育293-T8,籼型常规稻,嘉兴市农业科学研究院,浙品审字第170号
浙江,嘉优6号,嘉335A×嘉恢69,粳型三系杂交稻,浙江省嘉兴市农业科学研究院等,浙审稻2012015
浙江,嘉早43,嘉育293×ZK787,籼型常规稻,嘉兴市农业科学研究院,浙品审字第169号
浙江,华中2A,华中1A×华中2B,粳型不育系,浙江勿忘农种业股份有限公司,浙审稻（不育系）2022002
浙江,中选181,中丝3号×矮仔乌骚/中156//浙733,籼型常规稻,中国水稻研究所,浙品审字第364号
福建,两优H108,K12S×H108,籼型两系杂交稻,南平市农业科学研究所等,闽审稻20190008
浙江,台早5号,芜科1号×二九青,籼型常规稻,浙江省台州市农业科学研究院,浙品审字第004号
福建,紫05S,广占63S×黑籼糯,籼型不育系,福建省南平市农业科学研究所等,闽审稻20200093
浙江,协优371,协青早A×组恢371,籼型三系杂交稻,浙江大学核农所等,浙品审字第197号
福建,广两优769,广占63-4S×南恢769,籼型两系杂交稻,福建省南平市农业科学研究所,闽审稻20180010
福建,福泰优756,福泰1A×FR756,籼型三系杂交稻,福建丰田种业有限公司等,闽审稻20243034
浙江,嘉丰优3号,嘉禾112A×G1143,籼粳交三系杂交稻,嘉兴市农业科学研究院等,浙审稻2021019
福建,古S,RGD-7S×福农B/IR58025B,籼型不育系,福建省农业科学院水稻研究所,闽审稻20220097
福建,红17S,广占63S/美人红×K12S,籼型不育系,福建省南平市农业科学研究所,闽审稻20220096
福建,福紫糯3S,272S/Nantan84×Nantan84,籼型不育系,福建农林大学农学院,闽审稻20220095
浙江,嘉早丰35,嘉早丰5号/嘉早丰18×早优53,籼型常规稻,嘉兴市农业科学研究院等,浙审稻2023005
浙江,中组237,舜达95×台早13-105,籼型常规稻,中国水稻研究所,浙审稻2023004
浙江,嘉早丰19,ZK167×嘉早丰5号,籼型常规稻,嘉兴市农业科学研究院等,浙审稻2023003
浙江,辐籼8号,辐8329×辐8105/IR13471-171,籼型常规稻,浙江省农业科学院原子能利用研究所,浙品审字第168号
福建,明祥优2025,明祥A×明恢2025,籼型三系杂交稻,福建六三种业有限责任公司等,闽审稻20243033
浙江,浙优13,浙04A×浙恢H813,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2014014
浙江,华浙3A,中浙A×华浙3B,籼型不育系,中国水稻研究所等,浙审稻（不育系）2022001
福建,Q优12,Q4A×R1222,籼型三系杂交稻,重庆中一种业有限公司等,闽审稻20200027
福建,野香优613,野香A×福恢613,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20243032
浙江,荃优A18,荃9311A×中恢A18,籼型三系杂交稻,中国水稻研究所等,浙审稻2023025
浙江,中浙优10号,中浙A×06制7-10,籼型三系杂交稻,中国水稻研究所等,浙审稻2012014
浙江,甬优59,甬粳15A×F9061,籼粳交三系杂交稻,宁波种业股份有限公司,浙审稻2021018
福建,荃优203,荃9311A×佳恢203,籼型三系杂交稻,厦门大学生命科学学院等,闽审稻20220063
福建,荃优212,荃9311A×福恢212,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20180009
福建,荃优164,荃9311A×明恢164,籼型三系杂交稻,三明市农业科学研究院等,闽审稻20190007
浙江,协优92,协青早A×金恢92,籼型三系杂交稻,浙江省金华市农业科学研究所,浙品审字第196号
浙江,嘉早08,嘉早935×Z95-05,籼型常规稻,嘉兴市农科院,浙品审字第363号
福建,辰S,广占63-4S×深08S/隆科638S,籼型不育系,福建农乐种业有限公司,闽审稻20220094
浙江,中辐906,丰4/IR9129-136-2-1×密阳23,籼型常规稻,中国水稻研究所,浙品审字第167号
浙江,双科1号,IR24×科辐早,籼型常规稻,浙江农业大学等,浙品审字第003号
福建,君S,培矮64S/SE21S×台粳11号,籼型不育系,福建君和生物科技有限公司等,闽审稻20200092
福建,律优308,律达A×广恢308,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20200005
浙江,紫糯18,鸭血糯,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2021039
福建,运邦63S,GD-7S×T78B/宜香1B,籼型不育系,福建六三种业有限责任公司,闽审稻20220093
福建,禾两优676,禾9S×福恢676,籼型两系杂交稻,福建农林大学作物科学学院等,闽审稻20190006
浙江,协优H118,协青早A×中恢H118,籼型三系杂交稻,中国水稻研究所等,浙审稻2012013
福建,元两优967,元亨S×福恢967,籼型两系杂交稻,福建省农业科学院水稻研究所,闽审稻20243031
浙江,8优161,8204A×R161,粳型三系杂交稻,上海市农业科学院作物育种栽培研究所,浙品审字第236号
浙江,富早6号,中嘉早17×中早48,籼型常规稻,中国水稻研究所,浙审稻2023002
浙江,浙两优858,浙科17S×浙恢858,籼型两系杂交稻,浙江农科种业有限公司等,浙审稻2023024
浙江,天优8019,天丰A×中恢8019,籼型三系杂交稻,中国水稻研究所等,浙审稻2012012
福建,福农优676,福农A×福恢676,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20180008
福建,君红丝苗,红美人×NY28,籼型常规稻,福建君和生物科技有限公司等,闽审稻20200026
浙江,协优914,协青早A×T914,籼型三系杂交稻,浙江省台州市农业科学研究所,浙品审字第158号
浙江,甬优2号,甬粳2号A×K1722,粳型三系杂交稻,宁波市农业科学研究院等,浙品审字第235号
浙江,Ⅱ优162,Ⅱ-32A×蜀恢162,籼型三系杂交稻,四川农业大学水稻研究所,浙品审字第195号
浙江,长优34,长粳1A×恢AP34,籼粳交三系杂交稻,金华市农业科学研究院等,浙审稻2021017
浙江,庆莲16,共庆21×竹莲矮,籼型常规稻,江苏丘陵地区镇江农业科学研究所,浙品审字第002号
福建,广优151,广抗13A×江恢151,籼型三系杂交稻,三明市农业科学研究院,闽审稻20220062
福建,金泰优2050,金泰A×金恢2050,籼型三系杂交稻,福建农林大学农学院,闽审稻20200004
浙江,富两优506,富5S×中恢06,籼型两系杂交稻,中国水稻研究所,浙审稻2021038
福建,N15S,安湘S×广占63S,籼型不育系,福建省南平市农业科学研究所等,闽审稻20200091
浙江,钱优911,钱江1号A×浙恢9111,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2014013
江西,扬9优8011,扬籼9A×WR8011,籼型三系杂交稻,南京农业大学,赣审稻20240010
福建,茉两优622,茉01S×荟恢622,籼型两系杂交稻,福建省农业科学院生物技术研究所等,闽审稻20243030
浙江,钱优817,钱江1号A×金恢817,籼型三系杂交稻,金华市农业科学研究院等,浙审稻2012011
浙江,光亚2号,M2S×T2,籼型两系杂交稻,中国水稻研究所,浙品审字第234号
浙江,中佳早74,Z14-204×11G-75/辐805,籼型常规稻,中国水稻研究所,浙审稻2023001
浙江,四梅2号,IR24×科梅,籼型常规稻,浙江大学农业与生物技术学院等,浙品审字第001号
福建,金泰优683,金泰A×福恢683,籼型三系杂交稻,福建农林大学作物科学学院等,闽审稻20190005
福建,创源优918,创源A×乐恢918,籼型三系杂交稻,福建农乐种业有限公司等,闽审稻20200025
浙江,两优红84,V18S×H84,籼型两系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2021037
福建,神9优明占,神9A×改良的双抗明占,籼型三系杂交稻,三明市农业科学研究院等,闽审稻20220061
浙江,嘉晚优1号,嘉晚36A×MH23,籼型三系杂交稻,中科院遗传发育所嘉兴农作物高新技术育种中心等,浙审稻2012010
浙江,协优9308,协青早A×中恢9308,籼型三系杂交稻,中国水稻研究所,浙品审字第194号
福建,M76优212,M76A×福恢212,籼型三系杂交稻,福建亚丰种业有限公司等,闽审稻20180007
浙江,诚优13,诚1A×诚恢R13,籼粳交三系杂交稻,杭州众诚农业科技有限公司,浙审稻2021016
