省份,品种名称,亲本来源,类型,原产地,审定编号,审定方,审定序号,母本,审定公司
广西,中优106,中9A×桂R106,籼型三系杂交稻,中国水稻研究所等,桂审稻2004021号,桂审稻,2004021,中9A,中国水稻研究所
广西,泰丰优807,泰丰18A×R7007-7,籼型三系杂交稻,广西五泰种子有限公司,桂审稻2011032号,桂审稻,2011032,泰丰18A,广西五泰种子有限公司
广西,威优191,威20A×R191,籼型三系杂交稻,湖南安江农校,桂审稻2001094号,桂审稻,2001094,威20A,湖南安江农校
广西,奥富优655,奥富A×R655,籼型三系杂交稻,湖南奥谱隆科技股份有限公司,桂审稻2014003号,桂审稻,2014003,奥富A,湖南奥谱隆科技股份有限公司
广西,泸优578,LF308A×川种恢578,籼型三系杂交稻,四川川种种业有限责任公司等,桂审稻2007023号,桂审稻,2007023,LF308A,四川川种种业有限责任公司
海南,博Ⅱ优813,博ⅡA×R813,籼型三系杂交稻,海南成丰种业有限公司,琼审稻2011003,琼审稻,2011003,博ⅡA,海南成丰种业有限公司
广西,特优玉1号,龙特甫A×玉恢1号,籼型三系杂交稻,广西玉林市玉穗种业有限责任公司,桂审稻2008011号,桂审稻,2008011,龙特甫A,广西玉林市玉穗种业有限责任公司
广西,香二优781,香2A×桂781,籼型三系杂交稻,广西区种子公司,桂审稻2001028号,桂审稻,2001028,香2A,广西区种子公司
广西,糯两优6号,糯S×糯6,籼型两系杂交稻,湖南杂交水稻研究中心等,桂审稻200048号,桂审稻,200048,糯S,湖南杂交水稻研究中心
广西,宝丰优007,宝丰A×R007,籼型三系杂交稻,罗敬昭 罗光福,桂审稻2009019号,桂审稻,2009019,宝丰A,罗敬昭 罗光福
广西,中3优1号,中3A×钟恢1号,籼型三系杂交稻,广西壮族自治区种子公司,桂审稻2014040号,桂审稻,2014040,中3A,广西壮族自治区种子公司
广西,优Ⅰ191,优ⅠA×R191,籼型三系杂交稻,广西桂林市种子公司,桂审稻2001093号,桂审稻,2001093,优ⅠA,广西桂林市种子公司
广西,金优191,金23A×R191,籼型三系杂交稻,湖南省安江农业学校,桂审稻2001092号,桂审稻,2001092,金23A,湖南省安江农业学校
海南,金龙优068,金龙A×中种恢068,籼型三系杂交稻,中国种子集团有限公司三亚分公司等,琼审稻2018004,琼审稻,2018004,金龙A,中国种子集团有限公司三亚分公司
