省份,品种名称,亲本来源,类型,原产地,审定编号,审定方,审定序号,母本,审定公司
湖南,桃优玉珍,桃农1A×玉珍,籼型三系杂交稻,袁氏种业高科技有限公司等,湘审稻20210033,湘审稻,20210033,桃农1A,袁氏种业高科技有限公司
湖南,安两优2号,安1S×低镉2号,籼型两系杂交稻,湖南金健种业科技有限公司等,湘审稻20244007,湘审稻,20244007,安1S,湖南金健种业科技有限公司
湖南,桃优玉晶,桃农1A×玉晶,籼型三系杂交稻,袁氏种业高科技有限公司等,湘审稻20210032,湘审稻,20210032,桃农1A,袁氏种业高科技有限公司
湖南,清莲香占,低镉1号×香占,籼型常规稻,湖南金健种业科技有限公司等,湘审稻20244006,湘审稻,20244006,低镉1号,湖南金健种业科技有限公司
湖南,金科丝苗5号,黄软占×合丰占,籼型常规稻,深圳隆平金谷种业有限公司等,湘审稻20210031,湘审稻,20210031,黄软占,深圳隆平金谷种业有限公司
湖南,清莲丝苗,丝苗×低镉1号,籼型常规稻,湖南金健种业科技有限公司等,湘审稻20244005,湘审稻,20244005,丝苗,湖南金健种业科技有限公司
湖南,兴糯优4483,兴糯A×R4483,籼型三系杂交稻,湖南兴隆种业有限公司等,湘审稻20244004,湘审稻,20244004,兴糯A,湖南兴隆种业有限公司
湖南,民升优6176,民升A×R6176,籼型三系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210030,湘审稻,20210030,民升A,袁隆平农业高科技股份有限公司
湖南,轩两优1597,轩S×R1597,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210029,湘审稻,20210029,轩S,袁隆平农业高科技股份有限公司
湖南,隆8优5438,隆8A×华恢5438,籼型三系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20206002,湘审稻,20206002,隆8A,袁隆平农业高科技股份有限公司
湖南,珂两优1273,华珂226S×华恢1273,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20206001,湘审稻,20206001,华珂226S,袁隆平农业高科技股份有限公司
湖南,隆糯两优6号,隆糯18S×华糯6号,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20244003,湘审稻,20244003,隆糯18S,袁隆平农业高科技股份有限公司
湖南,深优1234,深95A×华恢1234,籼型三系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20190073,湘审稻,20190073,深95A,袁隆平农业高科技股份有限公司
湖南,韵两优7484,韵2013S×R7484,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210028,湘审稻,20210028,韵2013S,袁隆平农业高科技股份有限公司
湖南,绿银占,黄银占×丰粤占,籼型常规稻,深圳隆平金谷种业有限公司,湘审稻20190072,湘审稻,20190072,黄银占,深圳隆平金谷种业有限公司
湖南,赞两优13,赞6158S×GR13,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20200064,湘审稻,20200064,赞6158S,袁隆平农业高科技股份有限公司
湖南,旗两优6176,旗482S×R6176,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210027,湘审稻,20210027,旗482S,袁隆平农业高科技股份有限公司
湖南,清莲丝占,丝占×低镉1号,籼型常规稻,湖南金健种业科技有限公司等,湘审稻20244002,湘审稻,20244002,丝占,湖南金健种业科技有限公司
湖南,泰优068,泰丰A×康农R06,籼型三系杂交稻,湖北康农种业股份有限公司等,湘审稻20190071,湘审稻,20190071,泰丰A,湖北康农种业股份有限公司
湖南,恒两优华占,恒59S×华占,籼型两系杂交稻,湖南恒德种业科技有限公司等,湘审稻20190070,湘审稻,20190070,恒59S,湖南恒德种业科技有限公司
湖南,韵两优6176,韵2013S×R6176,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210026,湘审稻,20210026,韵2013S,袁隆平农业高科技股份有限公司
湖南,韵两优6937,韵2013S×R6937,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210025,湘审稻,20210025,韵2013S,袁隆平农业高科技股份有限公司
湖南,C两优9号,C815S×70124,籼型两系杂交稻,湖南农业大学,湘审稻2012013,湘审稻,2012013,C815S,湖南农业大学
湖南,丰源优263,丰源A×湘恢263,籼型三系杂交稻,怀化职业技术学院等,湘审稻2012012,湘审稻,2012012,丰源A,怀化职业技术学院
湖南,内5优263,内香5A×湘恢263,籼型三系杂交稻,怀化职业技术学院等,湘审稻2012011,湘审稻,2012011,内香5A,怀化职业技术学院
湖南,广两优2010,广占63-4S×R2010,籼型两系杂交稻,袁隆平农业高科技股份有限公司,湘审稻2012010,湘审稻,2012010,广占63-4S,袁隆平农业高科技股份有限公司
湖南,C两优651,C815S×湘丰651,籼型两系杂交稻,湖南丰源种业有限责任公司等,湘审稻2012009,湘审稻,2012009,C815S,湖南丰源种业有限责任公司
湖南,皖稻93,X07S×Wh16,籼型两系杂交稻,宣城市农业科学研究所,湘审稻2012008,湘审稻,2012008,X07S,宣城市农业科学研究所
湖南,龙两优981,龙S×R981,籼型两系杂交稻,湖南省水稻研究所等,湘审稻2012007,湘审稻,2012007,龙S,湖南省水稻研究所
湖南,珞优2号,珞红4A×低镉1号,籼型三系杂交稻,湖南省农业科学院等,湘审稻20244001,湘审稻,20244001,珞红4A,湖南省农业科学院
湖南,湘糯28,湘晚糯1号×鄂荆糯6号,籼型常规稻,湖南湘穗种业有限责任公司,湘审稻20200063,湘审稻,20200063,湘晚糯1号,湖南湘穗种业有限责任公司
湖南,陵两优22,湘陵628S×中早22,籼型两系杂交稻,湖南亚华种业科学研究院等,湘审稻2012006,湘审稻,2012006,湘陵628S,湖南亚华种业科学研究院
湖南,荷香106,农香39×华香16//农香32/粤王丝苗,籼型常规稻,湖南禾之香农业科技有限公司,湘审稻20243027,湘审稻,20243027,农香39,湖南禾之香农业科技有限公司
湖南,原香优京贵占,原香39A×京贵占,籼型三系杂交稻,湖南金色农华种业科技有限公司,湘审稻20243026,湘审稻,20243026,原香39A,湖南金色农华种业科技有限公司
湖南,板仓红糯,糯110×湘晚籼12号,籼型常规稻,湖南省水稻研究所,湘审稻20200062,湘审稻,20200062,糯110,湖南省水稻研究所
湖南,东两优丰占,东81S×丰占,籼型两系杂交稻,袁氏种业高科技有限公司,湘审稻20190069,湘审稻,20190069,东81S,袁氏种业高科技有限公司
湖南,韵两优2935,韵2013S×R2935,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210024,湘审稻,20210024,韵2013S,袁隆平农业高科技股份有限公司
湖南,珠两优5298,珠S×R5298,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210023,湘审稻,20210023,珠S,袁隆平农业高科技股份有限公司
湖南,宇两优121,宇340S×GR121,籼型两系杂交稻,湖南隆平种业有限公司,湘审稻20210022,湘审稻,20210022,宇340S,湖南隆平种业有限公司
湖南,珠两优1597,珠S×R1597,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210021,湘审稻,20210021,珠S,袁隆平农业高科技股份有限公司
湖南,泓两优3069,泓92S×R3069,籼型两系杂交稻,湖南兴隆种业有限公司等,湘审稻20230014,湘审稻,20230014,泓92S,湖南兴隆种业有限公司
湖南,松雅馨香,玉针香×湘晚籼13号/湘选恢326,籼型常规稻,湖南省水稻研究所,湘审稻20243025,湘审稻,20243025,玉针香,湖南省水稻研究所
湖南,松雅77,玉针香辐射株×象牙香占,籼型常规稻,湖南省水稻研究所,湘审稻20243024,湘审稻,20243024,玉针香辐射株,湖南省水稻研究所
湖南,杰丰优1号,杰丰A×望恢493,籼型三系杂交稻,湖南希望种业科技有限公司,湘审稻2012005,湘审稻,2012005,杰丰A,湖南希望种业科技有限公司
湖南,陵两优4024,湘陵628S×4024,籼型两系杂交稻,湖南农业大学等,湘审稻2012004,湘审稻,2012004,湘陵628S,湖南农业大学
湖南,板仓全彩,全紫稻×湘晚籼13号,籼型常规稻,湖南省水稻研究所,湘审稻20200061,湘审稻,20200061,全紫稻,湖南省水稻研究所
湖南,株两优19,株1S×G19,籼型两系杂交稻,中国水稻研究所等,湘审稻2012003,湘审稻,2012003,株1S,中国水稻研究所
湖南,玮两优8675,华玮338S×华恢8675,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210020,湘审稻,20210020,华玮338S,袁隆平农业高科技股份有限公司
湖南,吉优华占,吉丰A×华占,籼型三系杂交稻,广东省金稻种业有限公司等,湘审稻20190068,湘审稻,20190068,吉丰A,广东省金稻种业有限公司
湖南,悦两优7068,华悦468S×华恢7068,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20230013,湘审稻,20230013,华悦468S,袁隆平农业高科技股份有限公司
湖南,伍两优8549,晶4155S×华恢8549,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210019,湘审稻,20210019,晶4155S,袁隆平农业高科技股份有限公司
湖南,松雅11,湘早籼45号×湘晚籼13号/中9B,籼型常规稻,湖南省水稻研究所,湘审稻20243023,湘审稻,20243023,湘早籼45号,湖南省水稻研究所
湖南,创两优银华粘,创5S×银华粘,籼型两系杂交稻,湖南永益农业科技发展有限公司等,湘审稻20180016,湘审稻,20180016,创5S,湖南永益农业科技发展有限公司
湖南,两优5518,1892S×益恢5518,籼型两系杂交稻,湖南永益农业科技发展有限公司,湘审稻20230049,湘审稻,20230049,1892S,湖南永益农业科技发展有限公司
湖南,长两优173,长早S×嘉早173,籼型两系杂交稻,湖南亚华种业科学研究院,湘审稻2012002,湘审稻,2012002,长早S,湖南亚华种业科学研究院
湖南,松雅7号,湘早籼45号/玉针香×湘晚籼17号/湘早籼45号,籼型常规稻,湖南省水稻研究所等,湘审稻20243022,湘审稻,20243022,湘早籼45号/玉针香,湖南省水稻研究所
湖南,芯香两优1751,芯香S×R1751,籼型两系杂交稻,湖南金色农华种业科技有限公司等,湘审稻20220055,湘审稻,20220055,芯香S,湖南金色农华种业科技有限公司
湖南,恒两优金农丝苗,恒59S×金农丝苗,籼型两系杂交稻,湖南恒德种业科技有限公司等,湘审稻20190067,湘审稻,20190067,恒59S,湖南恒德种业科技有限公司
湖南,袁优华占,F5-42A×华占,籼型三系杂交稻,袁氏种业高科技有限公司等,湘审稻20190066,湘审稻,20190066,F5-42A,袁氏种业高科技有限公司
湖南,Y两优971,Y58S×健恢971,籼型两系杂交稻,湖南永益农业科技发展有限公司等,湘审稻20230048,湘审稻,20230048,Y58S,湖南永益农业科技发展有限公司
湖南,板仓早紫,早籼黑宝×丰优早11号,籼型常规稻,湖南省水稻研究所,湘审稻20200060,湘审稻,20200060,早籼黑宝,湖南省水稻研究所
湖南,伍两优泰丝,晶4155S×泰丝,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210018,湘审稻,20210018,晶4155S,袁隆平农业高科技股份有限公司
湖南,惠两优419,530S×R419,籼型两系杂交稻,湖南省春云农业科技股份有限公司,湘审稻20180015,湘审稻,20180015,530S,湖南省春云农业科技股份有限公司
湖南,贡香优丝占,贡香A×创恢丝占,籼型三系杂交稻,湖南袁创超级稻技术有限公司,湘审稻20220054,湘审稻,20220054,贡香A,湖南袁创超级稻技术有限公司
湖南,3两优911,33S×创恢911,籼型两系杂交稻,湖南袁创超级稻技术有限公司等,湘审稻20243021,湘审稻,20243021,33S,湖南袁创超级稻技术有限公司
湖南,深两优5518,深08S×益恢5518,籼型两系杂交稻,湖南永益农业科技发展有限公司等,湘审稻20230047,湘审稻,20230047,深08S,湖南永益农业科技发展有限公司
湖南,潭两优215,潭农S×潭早215,籼型两系杂交稻,湘潭市农业科学研究所,湘审稻2012001,湘审稻,2012001,潭农S,湘潭市农业科学研究所
湖南,桃优89,桃农1A×R89,籼型三系杂交稻,湖南北大荒种业科技有限责任公司等,湘审稻20190065,湘审稻,20190065,桃农1A,湖南北大荒种业科技有限责任公司
湖南,旺两优958,W115S×创恢958,籼型两系杂交稻,湖南袁创超级稻技术有限公司,湘审稻20180014,湘审稻,20180014,W115S,湖南袁创超级稻技术有限公司
湖南,宏优69,宏A×R69,籼型三系杂交稻,湛江神禾生物技术有限公司等,湘审稻2011028,湘审稻,2011028,宏A,湛江神禾生物技术有限公司
湖南,星两优1号,星锐S×PJK147,籼型两系杂交稻,湖南神州星锐种业科技有限公司,湘审稻20230046,湘审稻,20230046,星锐S,湖南神州星锐种业科技有限公司
湖南,Y两优096,Y58S×R096,籼型两系杂交稻,湖南旺农生物科技研究所等,湘审稻2011027,湘审稻,2011027,Y58S,湖南旺农生物科技研究所
湖南,C两优277,C815S×N恢277,籼型两系杂交稻,湖南杂交水稻研究中心等,湘审稻2011026,湘审稻,2011026,C815S,湖南杂交水稻研究中心
湖南,板仓早糯,香糯110×云大粒,籼型常规稻,湖南省水稻研究所,湘审稻20200059,湘审稻,20200059,香糯110,湖南省水稻研究所
湖南,C两优34156,C815S×34156,籼型两系杂交稻,湖南农业大学,湘审稻2011025,湘审稻,2011025,C815S,湖南农业大学
湖南,旺两优98丝苗,W115S×粤恢98丝苗,籼型两系杂交稻,湖南袁创超级稻技术有限公司等,湘审稻20200058,湘审稻,20200058,W115S,湖南袁创超级稻技术有限公司
湖南,H750S,SV14S×ZR02,籼型不育系,袁隆平农业高科技股份有限公司等,湘审稻2011050,湘审稻,2011050,SV14S,袁隆平农业高科技股份有限公司
湖南,晶两优农占,晶4155S×农占,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210017,湘审稻,20210017,晶4155S,袁隆平农业高科技股份有限公司
湖南,泓两优4832,泓92S×R4832,籼型两系杂交稻,湖南兴隆种业有限公司等,湘审稻20230012,湘审稻,20230012,泓92S,湖南兴隆种业有限公司
湖南,隆两优1686,隆科638S×华恢1686,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20180013,湘审稻,20180013,隆科638S,袁隆平农业高科技股份有限公司
湖南,冰两优007,冰S×万恢007,籼型两系杂交稻,湖南万仓科技有限公司,湘审稻20230045,湘审稻,20230045,冰S,湖南万仓科技有限公司
湖南,朝湘优2028,朝湘A×R2028,籼型三系杂交稻,湖南省水稻研究所等,湘审稻20220053,湘审稻,20220053,朝湘A,湖南省水稻研究所
湖南,甬优5526,甬粳55A×F4926,籼粳交三系杂交稻,宁波市种子有限公司,湘审稻20190064,湘审稻,20190064,甬粳55A,宁波市种子有限公司
湖南,汉两优97,汉S×R97,籼型两系杂交稻,湖南佳和种业股份有限公司,湘审稻20243020,湘审稻,20243020,汉S,湖南佳和种业股份有限公司
湖南,帮191S,湘陵628S×C815S,籼型不育系,湖南农业大学,湘审稻2011049,湘审稻,2011049,湘陵628S,湖南农业大学
湖南,金镶玉A,?×金23B/嘉育935,籼型不育系,湖南农业大学,湘审稻2011048,湘审稻,2011048,?,湖南农业大学
湖南,创优华九,创3A×创恢华九,籼型三系杂交稻,湖南袁创超级稻技术有限公司,湘审稻20200057,湘审稻,20200057,创3A,湖南袁创超级稻技术有限公司
湖南,正丰118A,T98A×正丰118B,籼型不育系,怀化市农业科学研究所,湘审稻2011047,湘审稻,2011047,T98A,怀化市农业科学研究所
湖南,万丰优荔丝,万丰99A×荔丝16,籼型三系杂交稻,湖南袁创超级稻技术有限公司等,湘审稻20243019,湘审稻,20243019,万丰99A,湖南袁创超级稻技术有限公司
湖南,桔两优623,桔182S×R1623,籼型两系杂交稻,江西先农种业有限公司,湘审稻20230044,湘审稻,20230044,桔182S,江西先农种业有限公司
湖南,B两优6号,B621S×望恢006,籼型两系杂交稻,湖南希望种业科技股份有限公司,湘审稻20180012,湘审稻,20180012,B621S,湖南希望种业科技股份有限公司
湖南,英两优华占,英S×华占,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210016,湘审稻,20210016,英S,袁隆平农业高科技股份有限公司
湖南,吉优晶占,吉丰A×晶占,籼型三系杂交稻,湖南永益农业科技发展有限公司等,湘审稻20200056,湘审稻,20200056,吉丰A,湖南永益农业科技发展有限公司
湖南,隆两优7810,隆科638S×华恢7810,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20180011,湘审稻,20180011,隆科638S,袁隆平农业高科技股份有限公司
湖南,臻优149,臻丰A×R149,籼型三系杂交稻,湖南金色农华种业科技有限公司,湘审稻20220052,湘审稻,20220052,臻丰A,湖南金色农华种业科技有限公司
湖南,鑫A,金23A×鑫B,籼型不育系,湖南洞庭高科种业股份有限公司等,湘审稻2011046,湘审稻,2011046,金23A,湖南洞庭高科种业股份有限公司
湖南,吉优粤占,吉丰A×粤占,籼型三系杂交稻,益阳市惠民种业科技有限公司等,湘审稻20200055,湘审稻,20200055,吉丰A,益阳市惠民种业科技有限公司
湖南,莉优058,莉丰A×R058,籼型三系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20206037,湘审稻,20206037,莉丰A,袁隆平农业高科技股份有限公司
湖南,永6A,先恢207变异不育株×永6B,籼型不育系,海南神农大丰种业科技股份有限公司,湘审稻2011045,湘审稻,2011045,先恢207变异不育株,海南神农大丰种业科技股份有限公司
湖南,松雅7号,湘早籼45号/玉针香×湘晚籼17号/湘早籼45号,籼型常规稻,湖南省水稻研究所等,湘审稻20230043,湘审稻,20230043,湘早籼45号/玉针香,湖南省水稻研究所
湖南,松雅520,农香32×华航31,籼型常规稻,湖南省水稻研究所,湘审稻20243018,湘审稻,20243018,农香32,湖南省水稻研究所
湖南,郝两优6955,郝S×R6955,籼型两系杂交稻,湖南兴隆种业有限公司等,湘审稻20230011,湘审稻,20230011,郝S,湖南兴隆种业有限公司
湖南,两优1128,P88S×HR1128,籼型两系杂交稻,湖南杂交水稻研究中心,湘审稻2011024,湘审稻,2011024,P88S,湖南杂交水稻研究中心
湖南,泓两优2137,泓92S×R2137,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210015,湘审稻,20210015,泓92S,袁隆平农业高科技股份有限公司
湖南,甬优8822,甬粳88A×F22,籼型三系杂交稻,湖南正隆农业科技有限公司等,湘审稻20220051,湘审稻,20220051,甬粳88A,湖南正隆农业科技有限公司
湖南,青香优健香丝苗,青香A×健香丝苗,籼型三系杂交稻,湖南永益农业科技发展有限公司等,湘审稻20243017,湘审稻,20243017,青香A,湖南永益农业科技发展有限公司
湖南,梦两优丝苗,梦S×黄粤丝苗,籼型两系杂交稻,湖南隆平种业有限公司等,湘审稻20180010,湘审稻,20180010,梦S,湖南隆平种业有限公司
湖南,潭原A,金23A×潭原B,籼型不育系,湘潭市原种场,湘审稻2011044,湘审稻,2011044,金23A,湘潭市原种场
湖南,先两优125,先119S×8H012-5,籼型两系杂交稻,袁氏种业高科技有限公司等,湘审稻20230042,湘审稻,20230042,先119S,袁氏种业高科技有限公司
湖南,悦两优8210,华悦468S×华恢8210,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20220020,湘审稻,20220020,华悦468S,袁隆平农业高科技股份有限公司
湖南,君丝占,8417×丰丝占,籼型常规稻,湖南鑫盛华丰种业科技有限公司,湘审稻20220050,湘审稻,20220050,8417,湖南鑫盛华丰种业科技有限公司
湖南,春两优121,春S×R121,籼型两系杂交稻,湖南省春云农业科技股份有限公司等,湘审稻20190063,湘审稻,20190063,春S,湖南省春云农业科技股份有限公司
湖南,深优610,深95A×R610,籼型三系杂交稻,湖南佳和种业股份有限公司等,湘审稻20200054,湘审稻,20200054,深95A,湖南佳和种业股份有限公司
湖南,旺两优911,W115S×创恢911,籼型两系杂交稻,湖南袁创超级稻技术有限公司,湘审稻20200053,湘审稻,20200053,W115S,湖南袁创超级稻技术有限公司
湖南,韶优766,韶农A×泰766,籼型三系杂交稻,广东源泰农业科技有限公司等,湘审稻20200052,湘审稻,20200052,韶农A,广东源泰农业科技有限公司
湖南,汉两优1607,汉S×R1607,籼型两系杂交稻,湖南佳和种业股份有限公司,湘审稻20200051,湘审稻,20200051,汉S,湖南佳和种业股份有限公司
湖南,妙两优2056,妙S×R2056,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20206036,湘审稻,20206036,妙S,袁隆平农业高科技股份有限公司
湖南,旗两优隆王丝苗,旗482S×隆王丝苗,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210014,湘审稻,20210014,旗482S,袁隆平农业高科技股份有限公司
湖南,圳两优2018,圳S×R2018,籼型两系杂交稻,长沙利诚种业有限公司,湘审稻20200050,湘审稻,20200050,圳S,长沙利诚种业有限公司
湖南,望两优815,望S×R815,籼型两系杂交稻,湖南湘穗种业有限责任公司,湘审稻20200049,湘审稻,20200049,望S,湖南湘穗种业有限责任公司
湖南,晶两优641,晶4155S×R641,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20170019,湘审稻,20170019,晶4155S,袁隆平农业高科技股份有限公司
湖南,旺两优107,W115S×创恢107,籼型两系杂交稻,湖南袁创超级稻技术有限公司,湘审稻20190062,湘审稻,20190062,W115S,湖南袁创超级稻技术有限公司
湖南,俱两优4876,俱S×R4876,籼型两系杂交稻,合肥侬本农业科技有限公司等,湘审稻20230010,湘审稻,20230010,俱S,合肥侬本农业科技有限公司
湖南,瑞两优1053,瑞丰S×R1053,籼型两系杂交稻,长沙利诚种业有限公司等,湘审稻20243016,湘审稻,20243016,瑞丰S,长沙利诚种业有限公司
湖南,泓两优570,泓92S×K570,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210013,湘审稻,20210013,泓92S,袁隆平农业高科技股份有限公司
湖南,梦两优5208,梦S×R5208,籼型两系杂交稻,湖南隆平种业有限公司等,湘审稻20180009,湘审稻,20180009,梦S,湖南隆平种业有限公司
湖南,常两优613,常香39S×R613,籼型两系杂交稻,湖南湘穗种业有限责任公司,湘审稻20220049,湘审稻,20220049,常香39S,湖南湘穗种业有限责任公司
湖南,扬泰优5293,扬泰A×香丝5293,籼型三系杂交稻,湖南优至种业有限公司等,湘审稻20230041,湘审稻,20230041,扬泰A,湖南优至种业有限公司
湖南,恒优520,恒丰A×恢520,籼型三系杂交稻,湖南佳和种业股份有限公司等,湘审稻20190061,湘审稻,20190061,恒丰A,湖南佳和种业股份有限公司
湖南,臻两优4811,隆臻36S×华恢4811,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20220019,湘审稻,20220019,隆臻36S,袁隆平农业高科技股份有限公司
湖南,奥富A,T98A×奥富B,籼型不育系,湖南怀化奥谱隆作物育种工程研究所,湘审稻2011043,湘审稻,2011043,T98A,湖南怀化奥谱隆作物育种工程研究所
湖南,创香5号,IAPAR9×明恢63/湘晚籼13号,籼型常规稻,湖南省水稻研究所等,湘审稻2011023,湘审稻,2011023,IAPAR9,湖南省水稻研究所
湖南,甄香优179,甄香A×Z179,籼型三系杂交稻,湖南兴隆种业有限公司等,湘审稻20243015,湘审稻,20243015,甄香A,湖南兴隆种业有限公司
湖南,望两优华占,望S×华占,籼型两系杂交稻,湖南希望种业科技股份有限公司等,湘审稻20170018,湘审稻,20170018,望S,湖南希望种业科技股份有限公司
湖南,麟两优亢稻,麟S×亢稻,籼型两系杂交稻,湖南兴隆种业有限公司等,湘审稻20230009,湘审稻,20230009,麟S,湖南兴隆种业有限公司
湖南,华润2号,黄华占×黄华占//黄华占/鄂中5号,籼型常规稻,湖北省农业科学院粮食作物研究所等,湘审稻2014019,湘审稻,2014019,黄华占,湖北省农业科学院粮食作物研究所
湖南,宜香优618,宜香1A×R618,籼型三系杂交稻,湖南民生种业科技有限公司,湘审稻2014018,湘审稻,2014018,宜香1A,湖南民生种业科技有限公司
湖南,泰优粤占,泰丰A×粤占,籼型三系杂交稻,湖南永益农业科技发展有限公司等,湘审稻20190060,湘审稻,20190060,泰丰A,湖南永益农业科技发展有限公司
湖南,华浙优261,华浙2A×中恢261,籼型三系杂交稻,中国水稻研究所等,湘审稻20210012,湘审稻,20210012,华浙2A,中国水稻研究所
湖南,粒香优1466,粒香A×R1466,籼型三系杂交稻,湖南兴隆种业有限公司等,湘审稻20243014,湘审稻,20243014,粒香A,湖南兴隆种业有限公司
湖南,利两优华晶,利S×惠恢851,籼型两系杂交稻,湖南垦惠商业化育种有限责任公司等,湘审稻20200048,湘审稻,20200048,利S,湖南垦惠商业化育种有限责任公司
湖南,妙两优3287,妙S×K3287,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20206035,湘审稻,20206035,妙S,袁隆平农业高科技股份有限公司
湖南,荃优0861,荃9311A×R0861,籼型三系杂交稻,江西先农种业有限公司等,湘审稻20170017,湘审稻,20170017,荃9311A,江西先农种业有限公司
湖南,深两优475,深08S×R1475,籼型两系杂交稻,湖南恒德种业科技有限公司等,湘审稻20180008,湘审稻,20180008,深08S,湖南恒德种业科技有限公司
湖南,丰源优2297,丰源A×R2297,籼型三系杂交稻,袁隆平农业高科技股份有限公司,湘审稻2014017,湘审稻,2014017,丰源A,袁隆平农业高科技股份有限公司
湖南,钱优0508,钱江1号A×浙恢0508,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,湘审稻2011022,湘审稻,2011022,钱江1号A,浙江省农业科学院作物与核技术利用研究所
湖南,科裕两优华占,裕S×华占,籼型两系杂交稻,湖南科裕隆种业有限公司,湘审稻20200031,湘审稻,20200031,裕S,湖南科裕隆种业有限公司
湖南,科两优梅占,科S×湘恢梅占,籼型两系杂交稻,湖南科裕隆种业有限公司,湘审稻20200030,湘审稻,20200030,科S,湖南科裕隆种业有限公司
湖南,常两优816,常香39S×R816,籼型两系杂交稻,湖南湘穗种业有限责任公司,湘审稻20220048,湘审稻,20220048,常香39S,湖南湘穗种业有限责任公司
湖南,吨两优17,吨S×创恢17,籼型两系杂交稻,湖南袁创超级稻技术有限公司,湘审稻20200047,湘审稻,20200047,吨S,湖南袁创超级稻技术有限公司
湖南,平两优1466,平S×R1466,籼型两系杂交稻,湖南兴隆种业有限公司等,湘审稻20230008,湘审稻,20230008,平S,湖南兴隆种业有限公司
湖南,天两优528,天安S×奥R528,籼型两系杂交稻,湖南奥谱隆科技股份有限公司,湘审稻20210011,湘审稻,20210011,天安S,湖南奥谱隆科技股份有限公司
湖南,顺优1208,顺1A×R1208,籼型三系杂交稻,湖南鑫盛华丰种业科技有限公司,湘审稻20190059,湘审稻,20190059,顺1A,湖南鑫盛华丰种业科技有限公司
湖南,益优701,益丰A×R505,籼型三系杂交稻,湖南阳明种业有限公司,湘审稻2011041,湘审稻,2011041,益丰A,湖南阳明种业有限公司
湖南,康两优911,康58S×创恢911,籼型两系杂交稻,湖南袁创超级稻技术有限公司,湘审稻20200046,湘审稻,20200046,康58S,湖南袁创超级稻技术有限公司
湖南,莉优1221,莉丰A×R1221,籼型三系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20206034,湘审稻,20206034,莉丰A,袁隆平农业高科技股份有限公司
湖南,穗湘丝苗,美香占2号×穗香98,籼型常规稻,湖南湘穗种业有限责任公司,湘审稻20220047,湘审稻,20220047,美香占2号,湖南湘穗种业有限责任公司
湖南,朝优华占,朝1A×华占,籼型三系杂交稻,湖南省水稻研究所等,湘审稻20210010,湘审稻,20210010,朝1A,湖南省水稻研究所
湖南,广泰优25,广泰A×HH25,籼型三系杂交稻,湖南神农大丰种业科技有限责任公司等,湘审稻20243013,湘审稻,20243013,广泰A,湖南神农大丰种业科技有限责任公司
湖南,焱两优华占,焱S×华占,籼型两系杂交稻,湖南兴隆种业有限公司等,湘审稻20220018,湘审稻,20220018,焱S,湖南兴隆种业有限公司
湖南,悦两优2945,华悦468S×华恢2945,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20216007,湘审稻,20216007,华悦468S,袁隆平农业高科技股份有限公司
湖南,裕两优18,裕S×湘恢18,籼型两系杂交稻,湖南科裕隆种业有限公司,湘审稻20200029,湘审稻,20200029,裕S,湖南科裕隆种业有限公司
